COUNTRY,LT_MONTH,TOTAL_USERS
BR,2019-01-01,1192.0
BR,2019-02-01,1758.0
BR,2019-03-01,2109.0
BR,2019-04-01,2610.0
BR,2019-05-01,3510.0
BR,2019-06-01,3419.0
BR,2019-07-01,4088.0
BR,2019-08-01,4245.0
BR,2019-09-01,3588.0
BR,2019-10-01,4076.0
BR,2019-11-01,4046.0
BR,2019-12-01,3211.0
BR,2020-01-01,2788.0
BR,2020-02-01,2647.0
BR,2020-03-01,2746.0
BR,2020-04-01,2686.0
BR,2020-05-01,2777.0
BR,2020-06-01,3077.0
BR,2020-07-01,3134.0
BR,2020-08-01,3486.0
BR,2020-09-01,3154.0
BR,2020-10-01,3411.0
BR,2020-11-01,3181.0
BR,2020-12-01,2831.0
BR,2021-01-01,2704.0
BR,2021-02-01,2765.0
BR,2021-03-01,3790.0
BR,2021-04-01,3439.0
BR,2021-05-01,2910.0
BR,2021-06-01,3259.0
BR,2021-07-01,2683.0
BR,2021-08-01,2498.0
BR,2021-09-01,2479.0
BR,2021-10-01,2276.0
BR,2021-11-01,2328.0
BR,2021-12-01,2141.0
BR,2022-01-01,2059.0
BR,2022-02-01,2025.0
BR,2022-03-01,2221.0
BR,2022-04-01,2073.0
BR,2022-05-01,2045.0
BR,2022-06-01,1885.0
BR,2022-07-01,1885.0
BR,2022-08-01,1917.0
BR,2022-09-01,1911.0
BR,2022-10-01,1834.0
BR,2022-11-01,1792.0
BR,2022-12-01,1624.0
BR,2023-01-01,1571.0
BR,2023-02-01,1508.0
BR,2023-03-01,1557.0
BR,2023-04-01,1517.0
BR,2023-05-01,1502.0
BR,2023-06-01,1475.0
BR,2023-07-01,1458.0
BR,2023-08-01,1459.0
BR,2023-09-01,1390.0
BR,2023-10-01,1356.0
BR,2023-11-01,1339.0
BR,2023-12-01,1238.0
BR,2024-01-01,1201.0
BR,2024-02-01,1237.0
BR,2024-03-01,1291.0
BR,2024-04-01,1225.0
BR,2024-05-01,1211.0
BR,2024-06-01,1137.0
BR,2024-07-01,1112.0
BR,2024-08-01,1130.0
BR,2024-09-01,1112.0
BR,2024-10-01,1091.0
BR,2024-11-01,1102.0
BR,2024-12-01,1020.0
BR,2025-01-01,974.0
BR,2025-02-01,977.0
BR,2025-03-01,1057.0
BR,2025-04-01,1033.0
BR,2025-05-01,1059.0
BR,2025-06-01,1090.0
BR,2025-07-01,1084.0
